AZUAY;CUENCA;CUENCA;10150
AZUAY;CUENCA;BAÑOS;10151
AZUAY;CUENCA;CUMBE;10152
AZUAY;CUENCA;CHAUCHA;10153
AZUAY;CUENCA;CHECA (JIDCAY) ;10154
AZUAY;CUENCA;CHIQUINTAD;10155
AZUAY;CUENCA;LLACAO;10156
AZUAY;CUENCA;MOLLETURO;10157
AZUAY;CUENCA;NULTI;10158
AZUAY;CUENCA;OCTAVIO CORDERO PALACIOS (SANTA ROSA) ;10159
AZUAY;CUENCA;PACCHA;10160
AZUAY;CUENCA;QUINGEO;10161
AZUAY;CUENCA;RICAURTE;10162
AZUAY;CUENCA;SAN JOAQUIN;10163
AZUAY;CUENCA;SANTA ANA;10164
AZUAY;CUENCA;SAYAUSI;10165
AZUAY;CUENCA;SIDCAY;10166
AZUAY;CUENCA;SININCAY;10167
AZUAY;CUENCA;TARQUI;10168
AZUAY;CUENCA;TURI;10169
AZUAY;CUENCA;VALLE;10170
AZUAY;CUENCA;VICTORIA DEL PORTETE (IRQUIS);10171
AZUAY;GIRON;GIRON;10250
AZUAY;GIRON;ASUNCION;10251
AZUAY;GIRON;SAN GERARDO;10252
AZUAY;GUALACEO;GUALACEO;10350
AZUAY;GUALACEO;DANIEL CORDOVA TORAL (EL ORIENTE) ;10352
AZUAY;GUALACEO;JADAN;10353
AZUAY;GUALACEO;MARIANO MORENO;10354
AZUAY;GUALACEO;REMIGIO CRESPO TORAL (GULAG);10356
AZUAY;GUALACEO;SAN JUAN;10357
AZUAY;GUALACEO;ZHIDMAD;10358
AZUAY;GUALACEO;LUIS CORDERO VEGA;10359
AZUAY;GUALACEO;SIMON BOLIVAR (CAB. EN GAÑANZOL);10360
AZUAY;NABON; NABON;10450
AZUAY;NABON;COCHAPATA;10451
AZUAY;NABON;EL PROGRESO (CAB.EN ZHOTA) ;10452
AZUAY;NABON;LAS NIEVES (CHAYA);10453
AZUAY;PAUTE;PAUTE;10550
AZUAY;PAUTE;BULAN (JOSE VICTOR IZQUIERDO) ;10552
AZUAY;PAUTE;CHICAN (GUILLERMO ORTEGA) ;10553
AZUAY;PAUTE;EL CABO  ;10554
AZUAY;PAUTE;GUARAINAG;10556
AZUAY;PAUTE;SAN CRISTOBAL (CARLOS ORDOÑEZ LAZO) ;10559
